product_link,product_sku,product_name,product_price
http://ferreteriasur.cl/machete-20pulg-t-460-20p-15886-truper.html,06750003,Machete 20pulg T-460-20p 15886  Truper,4420
http://ferreteriasur.cl/einhell-esmeril-ang-4-1-2-720w-te-ag-115-4430882.html,16220047,Einhell Esmeril Ang. 4 1/2 720w Te-ag 115 4430882,26000
http://ferreteriasur.cl/einhell-sierra-caladora-400w-tc-js-60-4321117.html,16220043,Einhell Sierra Caladora 400w Tc-js 60 4321117,24900
http://ferreteriasur.cl/einhell-kit-tal-1010w-c-acc-tc-id1000-4259844.html,16220042,Einhell Kit Tal 1010w C/acc. Tc-id1000 4259844,40150
http://ferreteriasur.cl/einhell-herr-multiprop-tc-mg-135-4419169.html,16220034,Einhell Herr Multiprop. Tc-mg 135  4419169,39990
http://ferreteriasur.cl/einhell-taladro-elect-13mm-550w-te-id550-4259610.html,16220025,Einhell Taladro Elect. 13mm 550w Te-id550 4259610,32950
http://ferreteriasur.cl/sierra-copa-bahco-3830-25-25mm.html,15780180,Sierra Copa Bahco 3830-25 25mm,7910
http://ferreteriasur.cl/huincha-medir-ac-inox-8-mt-x-1-bahco.html,15780147,Huincha Medir Ac.inox. 8 Mt.x 1 Bahco,13120
http://ferreteriasur.cl/makita-sierra-circ-7-1-4-1600w-hs7010k.html,11730175,Makita Sierra Circ. 7 1/4 1600w Hs7010k,123610
http://ferreteriasur.cl/makita-disco-sierra-7-1-4-60-dientes-d-61466.html,11730173,Makita Disco Sierra 7 1/4 60 Dientes D-61466,8910
http://ferreteriasur.cl/makita-desbrozadora-2t-24-5cc-em2500u-cab-dis.html,11730171,Makita Desbrozadora 2t 24.5cc Em2500u Cab/dis,140990
http://ferreteriasur.cl/makita-broca-paleta-25mm-x-150mm-d-07783.html,11730145,Makita Broca Paleta 25mm X 150mm D-07783,2500
